Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,MV101,P101,MV201,P201,P203,P205,MV301,MV302,MV303,MV304,P301,P401,P501,P602,UV401
2017-06-13 04:23:00.000,9.3867962696238,-1.0330003719293666,0.9798785200351179,-0.455748172258053,0.9652336218299267,-1.039768210602352,-0.8917662417622305,-1.032945723723694,-1.363243080462698,0.8961801805153407,1.8849533752595349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017-06-13 04:23:37.961,9.420972827822892,-1.0421864954537434,0.9309779131870584,-0.3935935386597038,1.027892996542771,-1.0258565514990439,-0.9333543446650684,-1.0846864975770454,-1.3502866450751216,0.8948111192427054,1.8742767809728609,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2017-06-13 04:24:15.922,8.979472269264269,16.283726592679336,9.997017272880537,5.32034129566527,-2.0380423276793027,51.13634587220385,10.86762340144811,3.3105311148432635,14.703729765942546,10.83783894377745,5.67352880812627,1,1,1,1,1,1,1,0,1,2,2,2,1,1,2
2017-06-13 04:24:53.883,7.195370170500695,7.579652458568888,6.100799384145351,2.0218093416095098,-1.5778006285703154,23.69563578269627,5.434829325380391,1.912541854407266,6.8545093625129105,5.7751185198584665,3.8594462021354268,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2
2017-06-13 04:25:31.844,5.375259213268992,2.571830474375872,3.4530273625913965,0.6807910588611361,-1.1098054018258086,6.08244630830257,1.7577416402734165,0.7712722611703429,2.5827604393846433,1.3898964793939732,2.9148379815574685,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:26:09.805,1.874302773788543,1.8059989150484925,2.3978363225661044,1.6535002202378175,-1.1416009669907625,-1.8509170597782445,0.025827955315015527,0.11355053918296121,2.286864536527059,-2.9188261794253916,3.02658763122201,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:26:47.766,1.6705134524126541,1.052656977635982,2.112072504583548,1.4720231293852986,-1.0758342368892722,-4.236108919361188,-0.4854781214659656,-0.08857396978419907,1.335901898578892,-3.3601297952066873,2.778007307830501,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:27:25.727,1.564354427964969,0.9892209599884223,2.1826301358725053,1.5348641286335631,-1.0732301493491023,-4.45070886337122,-0.5610898239154428,-0.1901969438885565,0.8262438113874019,-3.329286916952245,2.6504234249732463,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:28:03.688,1.4965655048016855,1.0763353975736751,2.298280271863434,1.6189195266685348,-1.088847667536713,-4.369775874322018,-0.5619582438238829,-0.2555075529465558,0.4959883252830673,-3.4051623121314756,2.5743887451804057,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:28:41.649,1.4898502293951743,1.158367490693923,2.417644831410413,1.6967831237146922,-1.0991768509591617,-4.081305220149276,-0.5122999605464369,-0.2849067485026487,0.35633302385083904,-3.3730630965233166,2.542738036344453,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:29:19.610,1.4382635932746382,1.209520594003217,2.5103856885068527,1.7813022017565272,-1.108253044219105,-3.96003049749536,-0.5051200715323418,-0.33351996357965585,0.13070911699117405,-3.3512761223280374,2.48720165725272,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:29:57.571,1.4024056040851811,1.3081786159889977,2.6147227923834726,1.8752966098225499,-1.1151256665935383,-3.6974618330095748,-0.46882684251155554,-0.37148711380209204,-0.029180575434683276,-3.3134917909246218,2.443294264885326,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:30:35.532,1.3614285827128065,1.389309586117751,2.7005222174545507,1.933868764884132,-1.1229881802710104,-3.543652887238151,-0.44896776590054466,-0.4141871492851847,-0.253482263169292,-3.2501817511019904,2.3782098342576443,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:31:13.493,1.3355607606597684,1.4624860609532064,2.8128572565462258,2.009897045873887,-1.1343141955720617,-3.285155553040889,-0.40725085265921,-0.45374479063072615,-0.43372770011021555,-3.2585708855079236,2.3391853434011445,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:31:51.454,1.2905585633741052,1.5340678936221601,2.8908852213147216,2.0735656351962217,-1.146830386861708,-3.1292134098707347,-0.3878353306999066,-0.4934369802690545,-0.6442701125903336,-3.246343734411438,2.2813417638979767,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:32:29.415,1.2148286247615707,1.6234365567049698,2.998481339516305,2.137510980713029,-1.13627279433874,-2.935563285733187,-0.3462712731612805,-0.5494141697948977,-0.7916255798105464,-3.2327138736543644,2.1989220580046367,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2
2017-06-13 04:33:07.376,-0.17220293429961175,0.7306338372675557,3.7244184901478556,1.7182411714495713,-0.27955673225042016,-2.3177550921800476,0.1683828257572702,-1.3583556213774068,-0.9194394661416516,-3.5806572333881364,0.517025377397972,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:33:45.337,-0.33724490738812374,0.3652005135974288,3.860901848248683,1.7437455340366186,-0.23490405881458132,-1.9414187945099024,0.2307931242773569,-1.4747977684414904,-1.09792417393912,-3.844166033247454,0.559720605002243,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:34:23.298,-0.2730247106354022,1.0175457689793554,3.973214196700878,1.7447882469432874,-0.16068991430570945,-1.967451160434071,0.18106673746242502,-1.586289960055797,-1.3691015444114916,-3.420083093708509,0.6567888620427759,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:35:01.259,-0.34230580837540836,1.3803900009715446,4.063586112939694,1.7539954414691168,-0.09843099266162059,-1.9789449825836163,0.15238759235421068,-1.6955056087779656,-1.542036826529721,-3.218788064970902,0.7508847959017562,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:35:39.220,-0.5189028736690551,1.6831110252199608,4.436506076387756,1.4793101054711562,0.7639056112124851,-1.7687763978375548,-0.7412528258537439,-0.7310947174153015,-1.7712490798552611,-3.133623881041118,0.7776926262941544,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:36:17.181,-0.5733647432382185,1.8907212298967888,4.5092979740369525,1.502661367874028,0.9213148922137225,-1.6377059948684947,-0.9746398499591338,-0.4239452012938887,-1.9229441671401803,-3.091104695309311,0.653689350656611,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:36:55.142,-0.5741695700787397,2.0525640076768696,4.507574415522865,1.5862534414935803,0.8903895859683433,-1.5145182149166505,-0.9841483769001088,-0.395005477753472,-2.0441850077771653,-3.050858563244434,0.5609447817637013,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2
2017-06-13 04:37:33.103,-0.6200732278040211,2.1628218000093207,4.509083187459011,1.6820307124611338,0.83080089584494,-1.4747851564124415,-0.9954753476405731,-0.36534921160174777,-2.1830204565441544,-3.061026281878508,0.4600831747059899,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2
